,precision,recall,f1-score,support
Apple_Black_Rot,0.96875,0.9841269841269841,0.9763779527559056,63.0
Apple_Cedar_Rust,0.9333333333333333,1.0,0.9655172413793104,28.0
Apple_Healthy,0.9896907216494846,0.96,0.9746192893401016,100.0
Apple_Scab,0.9365079365079365,0.9365079365079365,0.9365079365079365,63.0
accuracy,0.9645669291338582,0.9645669291338582,0.9645669291338582,0.9645669291338582
macro avg,0.9570704978726887,0.9701587301587302,0.9632556049958136,254.0
weighted avg,0.9650931318829991,0.9645669291338582,0.9645993020324918,254.0
