epoch,train_loss,train_acc,val_loss,val_acc
0,1.1678084963246396,0.5042904,0.978893851240476,0.7556143
1,0.9078562466721786,0.73333335,0.7788157785932223,0.78203434
2,0.7339775411706222,0.81386137,0.6219652816653252,0.8652576
3,0.6247591024950931,0.860066,0.5180724536379179,0.9352708
4,0.5359510158237658,0.8950495,0.45792243132988614,0.91413474
5,0.4704754107876828,0.9082508,0.40259745468695957,0.9471598
6,0.440978752625616,0.91749173,0.3498416704436143,0.9471598
7,0.40693562030792235,0.9194719,0.31849196925759315,0.9643329
8,0.37372030992256966,0.92145216,0.29839611425995827,0.9616909
9,0.3600226985780816,0.91881186,0.2691702072819074,0.96301186
10,0.3384456433747944,0.9240924,0.2570204908649127,0.96301186
11,0.31878151595592497,0.9326733,0.2315797327707211,0.9656539
12,0.2892066930469714,0.94785476,0.21745421861608824,0.9643329
13,0.2952673786564877,0.9372937,0.20020799276729426,0.9722589
14,0.270290933470977,0.93861383,0.19367748871445656,0.96829593
15,0.24384793905835403,0.94785476,0.18747267872095108,0.96829593
16,0.24971544240650378,0.939934,0.18041318903366724,0.9762219
17,0.2561659105514225,0.9359736,0.16987500339746475,0.97754294
18,0.23393169672865616,0.9405941,0.17669376793007055,0.96829593
19,0.22307365019070474,0.9419142,0.15565330845614275,0.9722589
20,0.21598768328365528,0.95247525,0.15058701547483602,0.97886395
21,0.21551213923253512,0.95049506,0.14703519642353058,0.9709379
22,0.22023330393590426,0.9432343,0.13852829361955324,0.98150593
23,0.21913449764251708,0.9419142,0.1402637396628658,0.96829593
24,0.1872260183095932,0.95841587,0.13562710490077734,0.9749009
25,0.19090866917058041,0.95247525,0.12925296494116387,0.98150593
26,0.1948204125228681,0.95247525,0.13576971273869276,0.9696169
27,0.19192524238636618,0.95247525,0.12136877203981082,0.98282695
28,0.1799114509632713,0.95445544,0.11749571251372497,0.97886395
29,0.16870863539607903,0.9663366,0.12006863346323371,0.97357994
30,0.1695352350410662,0.9610561,0.11338501889258623,0.98150593
31,0.17444120700422086,0.95049506,0.11111803663273652,0.97886395
32,0.1914057604576412,0.94785476,0.10932805637518565,0.985469
33,0.1589200540592796,0.9643564,0.10502429244418938,0.98150593
34,0.16433770170337275,0.95577556,0.10474082517127196,0.98414797
35,0.16997027381470328,0.9518152,0.10484592942520976,0.97357994
36,0.15879172753346593,0.959736,0.10140348908801873,0.98414797
37,0.16134331822395326,0.9551155,0.09615835904454191,0.985469
38,0.15331310527889352,0.959736,0.09490159728253882,0.98150593
39,0.16876794421359112,0.9537954,0.10147254820913076,0.9762219
40,0.14194363088984238,0.9617162,0.0933088855817914,0.98678994
41,0.1649810088308234,0.95445544,0.09104923934986194,0.98678994
42,0.14364251361081476,0.9610561,0.09158014583711822,0.98150593
43,0.13942423094260065,0.96831685,0.08873433635259668,0.989432
44,0.13996894483111408,0.9643564,0.08429050476600726,0.985469
45,0.1435619003678623,0.9537954,0.0872060686039428,0.98414797
46,0.1367508395722038,0.9617162,0.08653149955595534,0.98678994
47,0.13296424777884233,0.9676568,0.09759053805222113,0.9762219
48,0.1325981829511492,0.96369636,0.0818819251532356,0.98414797
49,0.13235693307299362,0.96237624,0.08054984640330076,0.985469
