,precision,recall,f1-score,support
Apple_Black_Rot,0.984375,1.0,0.9921259842519685,63.0
Apple_Cedar_Rust,1.0,1.0,1.0,28.0
Apple_Healthy,1.0,0.97,0.9847715736040609,100.0
Apple_Scab,0.9692307692307692,1.0,0.984375,63.0
accuracy,0.9881889763779528,0.9881889763779528,0.9881889763779528,0.9881889763779528
macro avg,0.9884014423076923,0.9924999999999999,0.9903181394640074,254.0
weighted avg,0.9884927695336161,0.9881889763779528,0.9881760605050397,254.0
