,precision,recall,f1-score,support
Apple_Black_Rot,0.5142857142857142,0.8571428571428571,0.6428571428571429,63.0
Apple_Cedar_Rust,0.7222222222222222,0.9285714285714286,0.8125,28.0
Apple_Healthy,0.7473684210526316,0.71,0.7282051282051282,100.0
Apple_Scab,0.7222222222222222,0.20634920634920634,0.32098765432098764,63.0
accuracy,0.6456692913385826,0.6456692913385826,0.6456692913385826,0.6456692913385826
macro avg,0.6765246449456976,0.675515873015873,0.6261374813458147,254.0
weighted avg,0.6805474973523047,0.6456692913385826,0.6153257285147049,254.0
