,precision,recall,f1-score,support
Apple_Black_Rot,0.9230769230769231,0.9523809523809523,0.9375,63.0
Apple_Cedar_Rust,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0
Apple_Healthy,0.96,0.96,0.96,100.0
Apple_Scab,0.9508196721311475,0.9206349206349206,0.9354838709677419,63.0
accuracy,0.9448818897637795,0.9448818897637795,0.9448818897637795,0.9448818897637795
macro avg,0.9406170059448749,0.9403968253968253,0.9403888248847927,254.0
weighted avg,0.9451003366067262,0.9448818897637795,0.9448739522479045,254.0
